# gt	L=5	L=7	L=9	L=11	L=21	L=31	L=41	L=51	L=61	L=71	L=81	L=91	L=101	L=201	L=301	L=401	L=501	L=601	L=701	L=801	L=901
2.697200e+03	2.900740e-01	1.203487e-01	9.053606e-02	1.715094e-01	6.623365e-02	3.191480e-02	9.011444e-02	4.021932e-02	2.107318e-02	1.010341e-01	1.884960e-02	7.868400e-02	7.493336e-02	7.064688e-02	1.368691e-02	3.119157e-02	9.867492e-03	2.894560e-02	5.451800e-02	1.418432e-02	7.927295e-03
2.697750e+03	4.384659e-01	1.691241e-01	1.403094e-01	2.003974e-01	2.846170e-01	9.119477e-02	1.865642e-01	9.269847e-02	9.777668e-02	7.839272e-02	4.158116e-02	5.133669e-02	7.662255e-02	7.622278e-02	1.614149e-02	5.233995e-02	1.735323e-02	1.544228e-02	3.219241e-02	1.849313e-02	1.435371e-02
2.698300e+03	1.803966e-01	2.367308e-01	6.797770e-02	2.363753e-01	1.262732e-01	1.801977e-02	2.170320e-01	4.227149e-02	2.502707e-02	4.403035e-02	6.351933e-02	2.443153e-02	1.508179e-02	4.129419e-02	1.177532e-02	5.630277e-02	2.630593e-02	6.795660e-03	1.276640e-02	8.658447e-03	9.486828e-03
2.698850e+03	4.383845e-01	2.654176e-01	2.003004e-01	4.081656e-01	6.465116e-02	3.902130e-02	1.818308e-01	1.225693e-01	6.909169e-02	9.666294e-02	1.294649e-02	6.009314e-02	3.641430e-02	8.859266e-02	1.223851e-02	6.219308e-02	1.228895e-02	1.527844e-02	3.257739e-02	8.561323e-03	9.920028e-03
2.699400e+03	3.827989e-01	2.288400e-01	1.666129e-01	5.527681e-02	1.741646e-01	8.513074e-02	1.079205e-01	8.602812e-02	5.104030e-02	7.582608e-02	3.975919e-02	5.432157e-02	8.823900e-02	7.756339e-02	1.172180e-02	4.574658e-02	5.367191e-03	1.563813e-02	3.481840e-02	1.370143e-02	2.831177e-03
2.699950e+03	5.670580e-01	4.603610e-01	9.492434e-02	3.505109e-01	3.845464e-01	8.938335e-02	2.569222e-01	7.248370e-02	5.630203e-02	6.725613e-02	1.553525e-02	2.648564e-02	6.745802e-02	8.639253e-02	8.179679e-03	6.154880e-02	8.559222e-03	1.799120e-02	2.822504e-02	7.761594e-03	8.322141e-03
2.700500e+03	1.254093e-01	2.487342e-01	1.765121e-01	2.520730e-01	1.547462e-01	4.340514e-02	2.122506e-01	8.307777e-02	1.129675e-01	4.585006e-02	2.521628e-02	5.237282e-02	6.390629e-02	4.633740e-02	1.467361e-02	5.061950e-02	1.387258e-02	6.177122e-03	6.237738e-03	1.135508e-02	8.269859e-03
2.701050e+03	7.226486e-01	1.086895e-01	2.068649e-01	1.696835e-01	7.519725e-02	7.221750e-02	9.480031e-02	1.122935e-01	8.321087e-02	8.245039e-02	8.455405e-02	8.938405e-02	6.998011e-02	1.251823e-01	2.219994e-02	6.465470e-02	2.891584e-02	1.714752e-03	5.174594e-03	6.240654e-03	1.100546e-02
2.701600e+03	4.357478e-01	2.573248e-01	1.728709e-01	2.404354e-01	2.176155e-01	8.511270e-02	1.940153e-01	7.883806e-02	4.885656e-02	5.180911e-02	4.024875e-02	3.593798e-02	5.678242e-02	8.039584e-02	9.414178e-03	6.802992e-02	2.352962e-02	1.097327e-02	1.667559e-02	5.257085e-03	2.165199e-02
2.702150e+03	3.444602e-01	4.328457e-01	2.665270e-01	2.340781e-01	3.315534e-01	1.074937e-02	2.223652e-01	5.103490e-02	1.068042e-01	8.880626e-02	4.878710e-02	9.332854e-02	2.761720e-02	9.595873e-02	2.919212e-02	5.681668e-02	2.717809e-02	1.492307e-02	6.452772e-03	1.869391e-02	8.501521e-03
2.702700e+03	3.668152e-01	1.391134e-01	2.094292e-01	3.308531e-01	1.417402e-01	6.742546e-02	1.781013e-01	9.707827e-02	1.406865e-01	8.547425e-03	5.153255e-02	6.813737e-02	8.629941e-02	4.757793e-02	2.516195e-02	7.369951e-02	2.578277e-02	5.687579e-03	2.450599e-02	7.192809e-03	5.773098e-03
